ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Meta: _wp_old_date
,simple,,Tenshi/Angel,1,0,visible,,&nbsp;\n\n\n\n&nbsp;\n\n\n\n&nbsp;,,,taxable,,1,1,,0,0,,,,,1,,55,65,Furyu,"angel beats, anime, escultura, estatua",,http://george-store.com/wp-content/uploads/2021/02/tenshi_angel.jpg,,,,,,,,,0,
,simple,,Ako Udagawa Figura Premium,1,0,visible,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">\n\n 	<li><span class=""a-list-item"">Producto oficial de Sega.</span></li>\n\n 	<li><span class=""a-list-item"">Figura coleccionable de alta calidad.</span></li>\n\n 	<li><span class=""a-list-item"">Requiere montaje menor.</span></li>\n\n 	<li><span class=""a-list-item"">Disponibilidad limitada</span></li>\n\n 	<li><span class=""a-list-item"">Aprox. Tamaño: 2.0 in de largo x 2.0 in de ancho x 7.1 in de alto.</span></li>\n\n</ul>\n\n&nbsp;\n\n\n\n&nbsp;",&nbsp;\n\n\n\n&nbsp;\n\n\n\n&nbsp;\n\n\n\n&nbsp;,,,taxable,,1,1,,0,0,,,,,1,,55,65,"Sega > School Days, Sega","anime, bang dream, escultura, estatua, school days",,"http://george-store.com/wp-content/uploads/2021/02/ako_2.jpg, http://george-store.com/wp-content/uploads/2021/02/ako_1.jpg, http://george-store.com/wp-content/uploads/2021/02/ako_2.jpg",,,,,,,,,0,
,simple,,Rinko Shirokane,1,0,visible,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">\n\n 	<li><span class=""a-list-item"">Producto oficial de Sega.</span></li>\n\n 	<li><span class=""a-list-item"">Figura coleccionable de alta calidad.</span></li>\n\n 	<li><span class=""a-list-item"">Requiere montaje menor.</span></li>\n\n 	<li><span class=""a-list-item"">Disponibilidad limitada</span></li>\n\n 	<li><span class=""a-list-item"">Aprox. Tamaño: 2.0 in de largo x 2.0 in de ancho x 8.3 in de alto.</span></li>\n\n</ul>\n\n&nbsp;",&nbsp;\n\n\n\n&nbsp;\n\n\n\n&nbsp;\n\n\n\n&nbsp;,,,taxable,,1,1,,0,0,,,,,1,,55,65,"Sega > School Days, Sega","anime, bang dream, escultura, estatua, school days",,"http://george-store.com/wp-content/uploads/2021/02/Rinko_1.jpg, http://george-store.com/wp-content/uploads/2021/02/Rinko_1.jpg, http://george-store.com/wp-content/uploads/2021/02/Rinko_2.jpg",,,,,,,,,0,
,simple,,Black Rock Shooter,1,0,visible,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">\n\n 	<li><span class=""a-list-item"">Importación de Max Factory</span></li>\n\n 	<li><span class=""a-list-item"">De la serie hit</span></li>\n\n 	<li><span class=""a-list-item"">Juntas lisas pero articuladas.</span></li>\n\n 	<li><span class=""a-list-item"">Incluye tres expresiones</span></li>\n\n 	<li><span class=""a-list-item"">Soporte articulado para figma.</span></li>\n\n</ul>",&nbsp;\n\n\n\n&nbsp;,,,taxable,,1,1,,0,0,,,,,1,,,85,"Max Factory > Figma, Max Factory","anime, articulado, figura de acción",,"http://george-store.com/wp-content/uploads/2021/02/black_rock_1.jpg, http://george-store.com/wp-content/uploads/2021/02/black_rock_1.jpg, http://george-store.com/wp-content/uploads/2021/02/black_rock_2.jpg, http://george-store.com/wp-content/uploads/2021/02/black_rock_3.jpg, http://george-store.com/wp-content/uploads/2021/02/black_rock_4.jpg, http://george-store.com/wp-content/uploads/2021/02/black_rock_5.jpg, http://george-store.com/wp-content/uploads/2021/02/black_rock_6.jpg, http://george-store.com/wp-content/uploads/2021/02/black_rock_7.jpg",,,,,,,,,0,
,simple,,Kurosaki Ichigo,1,0,visible,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">\n\n 	<li><span class=""a-list-item"">Material: PVC.</span></li>\n\n 	<li><span class=""a-list-item"">Tipo de artículo: modelo.</span></li>\n\n 	<li><span class=""a-list-item"">Tamaño: 9.8 in.</span></li>\n\n 	<li><span class=""a-list-item"">Grado de terminación: productos acabados</span></li>\n\n</ul>",&nbsp;\n\n\n\n&nbsp;,,,taxable,,1,1,,0,0,,,,,1,,230,250,"Square Enix > Play Arts Kai, Square Enix","anime, articulado, bleach, figura de acción",,"http://george-store.com/wp-content/uploads/2021/02/Ichigo_1.jpg, http://george-store.com/wp-content/uploads/2021/02/Ichigo_1.jpg, http://george-store.com/wp-content/uploads/2021/02/Ichigo_2.jpg, http://george-store.com/wp-content/uploads/2021/02/Ichigo_3.jpg, http://george-store.com/wp-content/uploads/2021/02/Ichigo_4.jpg",,,,,,,,,0,
,simple,,Stain | My Hero Academia,1,0,visible,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">\n\n 	<li><span class=""a-list-item"">Increíblemente detallada figura a escala de 7 pulgadas basada en la Academia Anime My Hero</span></li>\n\n 	<li><span class=""a-list-item"">Diseñado con ultra articulación con hasta 2</span></li>\n\n 	<li><span class=""a-list-item"">Stain aparece en su traje Villain de la temporada 2.</span></li>\n\n 	<li><span class=""a-list-item"">La mancha viene con su Kitana, y la base</span></li>\n\n 	<li><span class=""a-list-item"">La figura se muestra en el embalaje de la caja de ventana con temática de My Hero Academia.</span></li>\n\n 	<li><span class=""a-list-item"">Colecciona todas las figuras de My Hero Academia. Katsuki Bakugo UA Festival y Tenya Iida. Las figuras se venden por separado.</span></li>\n\n</ul>\n\n&nbsp;",&nbsp;\n\n\n\n&nbsp;,,,taxable,,1,1,,0,0,,,,,1,,,55,McFarlane Toys,"anime, articulado, Boku No Hero, figura de acción",,"http://george-store.com/wp-content/uploads/2021/02/Stain_1.jpg, http://george-store.com/wp-content/uploads/2021/02/Stain_1.jpg, http://george-store.com/wp-content/uploads/2021/02/Stain_2.jpg, http://george-store.com/wp-content/uploads/2021/02/Stain_3.jpg, http://george-store.com/wp-content/uploads/2021/02/Stain_4.jpg, http://george-store.com/wp-content/uploads/2021/02/Stain_5.jpg, http://george-store.com/wp-content/uploads/2021/02/Stain_6.jpg",,,,,,,,,0,2021-02-28
,simple,,Kotomi Ichinose,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,55,"Anime, Anime > Furyu",,,,,,,,,,,,0,
,simple,,Kyo Fujibayashi,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,55,"Anime, Anime > Furyu",,,,,,,,,,,,0,
,simple,,Ryou Fujibayashi,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,60,"Anime, Anime > Furyu",,,,,,,,,,,,0,
,simple,,Tomoyo Sakagami,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,120,"Kotobukiya > 4-Leaves, Kotobukiya",,,,,,,,,,,,0,
